Access to Work,"This is an official title when you are referring directly to the actual programme, so is in upper case; if not, then use lower case."
accountancy service provider,Use title case when referring to the business area covered by Money Laundering Regulations. Don't use the acronym.
Accounts office,This is an official title.
Activation PIN,"Title case. 'Activation PIN' has been changed to 'Activation Code' on outgoing correspondence from the Government Gateway. Until all hard coded instances of Activation PIN have been removed from the Online Services pages, use:
'Activation Code (also known as Activation PIN)'."
"act, act of Parliament ","Lower case. Only cap up when using the full title, eg Planning and Compulsory Purchase Act 2004. "
al-Qa'ida,
animal health,Lower case.
antisocial,No hyphen.
apprenticeship programme,Lower case.
A-road,
armed forces,Lower case.
arm's length body,"Apostrophe, no hyphen."
assembly ministers,Not a title.
Attendance Allowance,This is an official title.
Bacs (Bankers Automated Clearing System),Acronym should come first as it's more widely known than the full name. Please note that the acronym has changed to 'Bacs'.
Behavioural Insights team,"Cap up if it's a specific named team. Always lower case for 'team' and generic names like research team, youth offending team. "
Bereavement Payment,"This is an official title.
"
Blind Person's Allowance,"This is an official title.
"
board,"Always lower case unless it's part of a proper title, eg 'The DFT's management board', 'the Judicial Executive Board'."
borough council,"Lower case even in a name, eg Northampton borough council."
business continuity management,Lower case.
business plan,Not even in the title of the business plan (publication title).
business statement,Lower case.
cabinet,The cabinet is lowercase.
Capital Gains Tax,This is an official title.
chairman,"Lower case in text. Cap up in titles, eg Spencer Tracy, Chairman, GDS."
CHAPS (Clearing House Automated Payment System),The acronym should come first as it's more widely known than the full name.
"chemical, biological, radiological or nuclear (CBRN) materials. ",Lower case but use caps for the acronym.
chief constable,"Lower case except where it's a title with the holder's name, like Chief Constable Andrew Trotter."
Child Benefit,This is an official title.
Child Tax Credit,"Named benefit, but generic references to tax credits are lower case."
Childcare Grant,This is an official title.
Civil Contingencies Secretariat,Upper case because it's the name of an organisation.
civil service,Lower case.
coalition,"Lower case in all instances, including 'the coalition'."
coastguard,Not a title.
code of practice,"Lower case.
"
commercial software,Not 'third party software' or '3rd party software'.
Community Care Grant,This is an official title.
community resilience,Lower case.
competence order,Only cap up if used as the full title: the National Assembly for Wales (Legislative Competence) (Social Welfare) Order 2008. 
conduct of business rules,Lower case.
Construction Industry Scheme,"Use upper case when referring to the actual Construction Industry Scheme, (CIS', not 'the CIS')."
Construction Industry Scheme Online/CIS Online,This is an official title.
consultation responses,Lower case.
continuous improvement,Lower case.
co-operation ,Lower case.
Corporation Tax,This is an official title.
Corporation Tax for Agents online service,This is an official title.
Corporation Tax Online,"Use uppercase if referring to the actual service, not if you are describing using the service."
council,"Lower case even in a name, eg Wandsworth council."
Council Tax,Upper case.
credit unions,Lower case.
critical national infrastructure,Lower case.
Customs Duty,This is an official title.
defence,Lower case even when referring to the defence team at the MOD.
defence team,Lower case. 
department,"Lower case except when in the title, eg the Department of Health."
devolved administrations,Lower case.
Direct Debit,This is an official title.
Direct Debit Instruction,This is an official title.
director,"Lower case in text. Cap up in titles, eg Spencer Tracy, Director, GDS."
Disability Living Allowance,This is an official title.
dispensation,Lower case.
Discretionary Housing Payment,This is an official title.
district council,Lower case even in a name like Warwick district council.
Duty Deferment Electronic Statements (DDES),This is an official title.
EC Sales List (ESL),"The abbreviation is 'ESL', not 'ECSL'."
